Filename English,modal_name,Modal name agreement (%),H value,DKO (%),DKN (%),TOT (%),Modal category,Category agreement (%),Hcat,Familiarity,Visual complexity,Object agreement,Viewpoint agreement,NMI,Manipulability,Living/non-living,modal_name_clean
holepunch04.jpg,Hole puncher,0.2857142857142857,2.965037132320553,0.02564102564102564,0.05128205128205128,0.05128205128205128,School supply,0.8918918918918919,0.6563450970119509,3.8421052631578947,2.5277777777777777,3.933333333333333,3.7096774193548385,2,2.6129032258064515,NL,Hole puncher
horsefigurine.jpg,Horse,0.2571428571428571,3.699594445021886,0,0.027777777777777776,0,Decoration,0.7948717948717948,1.1742490618325918,3.282051282051282,2.58974358974359,3.6363636363636362,3.757575757575758,0,1.5757575757575757,NL,Horse
hosenozzle.jpg,Hose nozzle,0.46153846153846156,2.6800810637956753,0.05128205128205128,0.2564102564102564,0.02564102564102564,Tool,0.6176470588235294,1.776118692538485,3.324324324324324,2.4054054054054053,3.586206896551724,3.413793103448276,3,2.0344827586206895,NL,Hose nozzle
hourglass.jpg,Hourglass,0.40625,2.488425661177356,0,0.05405405405405406,0.08108108108108109,Kitchen item,0.2564102564102564,2.3579502754211736,3.769230769230769,2.769230769230769,3.8484848484848486,4.303030303030303,0,2.3333333333333335,NL,Hourglass
icecreamcone01a.jpg,Ice cream cone,0.631578947368421,1.6153196182512763,0,0.02564102564102564,0,Food,0.9487179487179487,0.3776406221754407,4.205128205128205,2.128205128205128,4.151515151515151,4.363636363636363,0,2.5757575757575757,NL,Ice cream cone
icecubetray01a.jpg,Ice cube tray,0.5526315789473685,2.3598106481098773,0,0,0,Kitchen item,0.868421052631579,0.6567431466322967,4.368421052631579,2.1578947368421053,4.363636363636363,3.8484848484848486,0,2.121212121212121,NL,Ice cube tray
icepack.jpg,Ice pack,0.7352941176470589,1.4375685840630414,0,0.10256410256410256,0.02564102564102564,Household article,0.3157894736842105,2.2394742153618035,3.717948717948718,2.4871794871794872,3.806451612903226,3.5161290322580645,2,1.5161290322580645,NL,Ice pack
iceskate.jpg,Skate,0.5,2.2421275723973997,0,0.02564102564102564,0,Sport,0.7948717948717948,0.9776613190816137,3.972972972972973,2.972972972972973,4.363636363636363,3.696969696969697,0,3.0606060606060606,NL,Skate
iron01b.jpg,Iron *,0.9230769230769231,0.46188170471037016,0,0,0,Household article,0.631578947368421,1.7494712777288983,4.358974358974359,3.0256410256410255,4.2727272727272725,3.515151515151515,0,3.9393939393939394,NL,Iron
jar03.jpg,Jar,0.34210526315789475,2.802812996522324,0,0.02564102564102564,0,Kitchen item,0.5897435897435898,1.8183293400764748,3.948717948717949,2.1025641025641026,4.133333333333334,3.935483870967742,3,1.8,NL,Jar
jewelrybox01b.jpg,Jewelry box,0.39473684210526316,2.296167467562928,0,0.02564102564102564,0,Decoration,0.6486486486486487,1.5947051685978129,3.6923076923076925,2.8421052631578947,3.121212121212121,3.090909090909091,0,2.1818181818181817,NL,Jewelry box
kettle01.jpg,Kettle *,0.6842105263157895,1.5485601279628305,0,0,0.02564102564102564,Kitchen item,0.8205128205128205,1.1186731369333924,4.205128205128205,2.230769230769231,3.6363636363636362,4.454545454545454,0,3.121212121212121,NL,Kettle
key01.jpg,Key *,0.9743589743589743,0.17203694935311384,0,0,0,Other,0.5789473684210527,1.490341494752759,4.589743589743589,2.41025641025641,4.515151515151516,3.606060606060606,0,3.84375,NL,Key
keyboard02.jpg,Keyboard,0.8947368421052632,0.695987076535387,0,0,0.02564102564102564,Electronic,0.972972972972973,0.28801104033933334,4.6923076923076925,3.1025641025641026,4.151515151515151,4.121212121212121,0,4.03030303030303,NL,Keyboard
keychain.jpg,Key chain,0.5,1.8656800145954557,0,0.10526315789473684,0,Other,0.6111111111111112,1.8631729345778043,4,2.1578947368421053,3.15625,3.40625,0,2.40625,NL,Key chain
kitchenscale01a.jpg,Scale,0.47368421052631576,2.390863696857044,0,0.02564102564102564,0,Kitchen item,0.7631578947368421,1.0995287930101614,3.8461538461538463,2.769230769230769,4,3.3548387096774195,1,1.7741935483870968,NL,Scale
kleenexbox01b.jpg,Kleenex box,0.2631578947368421,2.5306016985440754,0,0,0,Bathroom items,0.5945945945945946,1.606292582503288,4.684210526315789,2.3947368421052633,4.65625,4.65625,1,3.125,NL,Kleenex box
knife01.jpg,Knife,0.6388888888888888,2.0366802100124572,0.02564102564102564,0.05128205128205128,0,Kitchen item,0.8947368421052632,0.6360658679422528,3.763157894736842,2.0526315789473686,3.2903225806451615,3.5517241379310347,0,2.793103448275862,NL,Knife
ladle02a.jpg,Ladle,0.5714285714285714,2.134909020535037,0,0.07692307692307693,0.02564102564102564,Kitchen item,0.9736842105263158,0.21200047224972154,4.157894736842105,1.9487179487179487,4.125,3.46875,0,2.9375,NL,Ladle
lamp04a.jpg,Lamp *,0.9210526315789473,0.4709563136258531,0,0,0,Furniture,0.3684210526315789,2.059325158445052,4.5,2.6315789473684212,3.5454545454545454,4.0606060606060606,0,2.272727272727273,NL,Lamp
laptop01a.jpg,Laptop,0.7435897435897436,1.2947269275580673,0,0,0,Electronic,0.9473684210526315,0.4197803653015142,4.631578947368421,3.58974358974359,4.2727272727272725,3.4242424242424243,0,3.242424242424242,NL,Laptop
lego03b.jpg,Lego,0.30303030303030304,3.139219410168246,0.05128205128205128,0.10256410256410256,0,Toy,0.918918918918919,0.4804334574529621,3.4473684210526314,2.051282051282051,3.4545454545454546,3.6363636363636362,0,1.8484848484848484,NL,Lego
level03a.jpg,Level,0.7391304347826086,1.5023937690458928,0.1282051282051282,0.20512820512820512,0.07692307692307693,Tool,0.7058823529411765,1.7013043756455852,3.4285714285714284,2.5428571428571427,3.3,2.8,3,2,NL,Level
lifejacket.jpg,Life jacket,0.6756756756756757,1.6933343184838656,0,0.05128205128205128,0,Sport,0.8461538461538461,0.7496318933930416,3.9743589743589745,2.923076923076923,3.757575757575758,3.6666666666666665,0,2.8484848484848486,NL,Life jacket
lightbulb01.jpg,Light bulb *,0.8333333333333334,0.858627282879658,0,0.02564102564102564,0.05128205128205128,Household article,0.40540540540540543,1.911025914979232,4.538461538461538,2.9743589743589745,4.8125,3.875,0,3.1875,NL,Light bulb
